Date,Revenue,target,robust_z,abs_robust_z,diff_1,abs_diff_1,diff_7,abs_diff_7,promo_active,dow,month,COGS
2013-03-30,,COGS,7.480344693676561,7.480344693676561,2955774.4700000007,2955774.4700000007,5207040.28,5207040.28,1,5,3,10600188.31
2021-03-30,,COGS,6.949873940486541,6.949873940486541,6139984.1,6139984.1,6106361.329999999,6106361.329999999,1,1,3,9875208.04
2013-04-29,13160942.22,Revenue,6.885151473585436,6.885151473585436,4061598.91,4061598.91,5868589.660000001,5868589.660000001,0,0,4,
2013-05-31,,COGS,6.842176183440178,6.842176183440178,1194433.4900000002,1194433.4900000002,5988832.180000001,5988832.180000001,0,4,5,11231361.14
2022-03-30,,COGS,6.828866339592567,6.828866339592567,6282077.94,6282077.94,5980049.170000001,5980049.170000001,1,2,3,10896036.48
2013-05-31,13809349.18,Revenue,6.828596106969697,6.828596106969697,981055.6999999993,981055.6999999993,7139318.989999999,7139318.989999999,0,4,5,
2018-05-30,20905271.35,Revenue,6.804979444580737,6.804979444580737,10642453.030000001,10642453.030000001,9126266.410000002,9126266.410000002,0,2,5,
2013-05-01,13051232.31,Revenue,6.674255357513328,6.674255357513328,1860765.4500000011,1860765.4500000011,3692666.700000001,3692666.700000001,0,2,5,
2013-08-01,,COGS,6.575299048809456,6.575299048809456,1315671.9500000011,1315671.9500000011,7188921.42,7188921.42,1,3,8,12167214.07
2022-03-30,11643208.73,Revenue,6.521077999570653,6.521077999570653,6734704.24,6734704.24,6341366.28,6341366.28,1,2,3,
2013-04-29,,COGS,6.499393507868897,6.499393507868897,3189889.490000001,3189889.490000001,4557102.890000001,4557102.890000001,0,0,4,10423989.71
2013-03-30,11636994.38,Revenue,6.481076419697826,6.481076419697826,3255310.9400000004,3255310.9400000004,5627485.7700000005,5627485.7700000005,1,5,3,
2013-05-01,,COGS,6.45344023670699,6.45344023670699,1553144.8599999994,1553144.8599999994,3108529.1499999994,3108529.1499999994,0,2,5,10395426.51
2014-04-29,17347427.27,Revenue,6.4112162268860065,6.4112162268860065,5532985.549999999,5532985.549999999,7216329.809999999,7216329.809999999,0,1,4,
2013-06-01,13162597.88,Revenue,6.368758910247335,6.368758910247335,-646751.2999999989,646751.2999999989,8108002.94,8108002.94,0,5,6,
2013-05-30,12828293.48,Revenue,6.181995764096407,6.181995764096407,5468653.890000001,5468653.890000001,3661374.460000001,3661374.460000001,0,3,5,
2018-05-31,19289944.12,Revenue,6.1431455160504544,6.1431455160504544,-1615327.2300000004,1615327.2300000004,10259546.38,10259546.38,0,3,5,
2014-04-29,,COGS,6.127805155818799,6.127805155818799,4384997.949999999,4384997.949999999,5642312.59,5642312.59,0,1,4,13752034.86
2018-06-01,19245165.78,Revenue,6.124798877595493,6.124798877595493,-44778.33999999985,44778.33999999985,12746766.600000001,12746766.600000001,0,4,6,
2013-04-01,,COGS,6.09131999260806,6.09131999260806,675256.6699999999,675256.6699999999,5018783.869999999,5018783.869999999,1,0,4,9188774.52
2013-06-01,,COGS,5.992444740596404,5.992444740596404,-917098.9800000004,917098.9800000004,6397879.95,6397879.95,0,5,6,10314262.16
2013-05-30,,COGS,5.86315535386067,5.86315535386067,4195124.46,4195124.46,2886251.0300000003,2886251.0300000003,0,3,5,10036927.65
2016-04-28,17388183.19,Revenue,5.843471742241253,5.843471742241253,1008460.660000002,1008460.660000002,7706561.540000001,7706561.540000001,0,3,4,
2021-03-31,,COGS,5.754464432870575,5.754464432870575,-1327333.1999999993,1327333.1999999993,4908436.67,4908436.67,1,2,3,8547874.84
2021-03-30,10795905.35,Revenue,5.6641169983699555,5.6641169983699555,6705814.75,6705814.75,6573284.659999999,6573284.659999999,1,1,3,
2016-04-29,16966030.5,Revenue,5.6487358880158345,5.6487358880158345,-422152.69000000134,422152.69000000134,10523838.51,10523838.51,0,4,4,
2013-06-02,12079925.72,Revenue,5.611872575244961,5.611872575244961,-1082672.1600000001,1082672.1600000001,8430340.670000002,8430340.670000002,0,6,6,
2018-05-30,,COGS,5.602999795761967,5.602999795761967,8629967.84,8629967.84,7166676.880000001,7166676.880000001,0,2,5,16535857.67
2013-07-31,,COGS,5.597820848473518,5.597820848473518,3778017.049999999,3778017.049999999,4926563.85,4926563.85,1,2,7,10851542.12
2015-03-31,,COGS,5.5602976999250675,5.5602976999250675,416605.8999999985,416605.8999999985,7644561.289999999,7644561.289999999,1,1,3,13306811.36
2021-04-01,,COGS,5.464032615047522,5.464032615047522,-322483.45999999996,322483.45999999996,3902934.8899999997,3902934.8899999997,1,3,4,8225391.38
2013-03-31,,COGS,5.45723607767841,5.45723607767841,-2086670.460000001,2086670.460000001,3903413.5699999994,3903413.5699999994,1,6,3,8513517.85
2018-06-02,17529108.34,Revenue,5.421693639222943,5.421693639222943,-1716057.4400000013,1716057.4400000013,11928430.71,11928430.71,0,5,6,
2013-04-01,10313848.23,Revenue,5.394203192075112,5.394203192075112,858824.4299999997,858824.4299999997,5619539.41,5619539.41,1,0,4,
2013-04-30,11190466.86,Revenue,5.3865202368783915,5.3865202368783915,-1970475.3600000013,1970475.3600000013,2432993.7799999993,2432993.7799999993,0,1,4,
2016-04-27,16379722.53,Revenue,5.378276440328505,5.378276440328505,4992602.17,4992602.17,4909218.979999999,4909218.979999999,0,2,4,
2016-04-28,,COGS,5.342489047157335,5.342489047157335,850525.129999999,850525.129999999,6198055.47,6198055.47,0,3,4,13978683.94
2013-06-02,,COGS,5.339428969100511,5.339428969100511,-703309.120000001,703309.120000001,6721451.779999999,6721451.779999999,0,6,6,9610953.04
2015-03-30,,COGS,5.317449831904996,5.317449831904996,7458991.990000001,7458991.990000001,8227132.98,8227132.98,1,0,3,12890205.46
2013-05-02,11179665.29,Revenue,5.315534190009443,5.315534190009443,-1871567.0200000014,1871567.0200000014,2052382.289999999,2052382.289999999,0,3,5,
2017-03-30,,COGS,5.251479442467043,5.251479442467043,8008186.11,8008186.11,8638380.52,8638380.52,1,3,3,16224964.49
2013-05-02,,COGS,5.220083361941408,5.220083361941408,-1406358.5199999996,1406358.5199999996,1782119.8500000006,1782119.8500000006,0,3,5,8989067.99
2018-05-31,,COGS,5.169669026118351,5.169669026118351,-974011.5700000003,974011.5700000003,8401576.239999998,8401576.239999998,0,3,5,15561846.1
2016-04-29,,COGS,5.144007674112869,5.144007674112869,-367693.51999999955,367693.51999999955,8334343.49,8334343.49,0,4,4,13610990.42
2016-05-30,15902645.06,Revenue,5.1149627665399935,5.1149627665399935,9625258.350000001,9625258.350000001,7257434.01,7257434.01,0,0,5,
2022-03-31,,COGS,5.110385486511672,5.110385486511672,-2122318.33,2122318.33,4029407.8900000006,4029407.8900000006,1,3,3,8773718.15
2013-04-30,,COGS,5.105427018735295,5.105427018735295,-1581708.0600000005,1581708.0600000005,1934354.62,1934354.62,0,1,4,8842281.65
2021-04-29,9535515.05,Revenue,5.085052857371953,5.085052857371953,3929083.5600000005,3929083.5600000005,4900388.5600000005,4900388.5600000005,0,3,4,
2013-02-25,,COGS,5.07078492298256,5.07078492298256,2998818.840000001,2998818.840000001,3607583.1200000006,3607583.1200000006,1,0,2,7430696.94
2018-06-01,,COGS,5.047633364087214,5.047633364087214,-274303.5,274303.5,10146296.92,10146296.92,0,4,6,15287542.6
2015-04-01,,COGS,4.986892589425933,4.986892589425933,-983677.3699999992,983677.3699999992,6260250.5600000005,6260250.5600000005,1,2,4,12323133.99
2021-04-29,,COGS,4.975244961868346,4.975244961868346,3379439.6399999997,3379439.6399999997,4023292.58,4023292.58,0,3,4,7714922.63
2015-04-29,,COGS,4.958900022196406,4.958900022196406,1088224.879999999,1088224.879999999,5239808.39,5239808.39,0,2,4,12456433.34
2016-03-30,,COGS,4.9385538466932415,4.9385538466932415,6533851.94,6533851.94,7879649.030000001,7879649.030000001,1,2,3,13412468.3
2016-06-02,15450407.81,Revenue,4.907906722118649,4.907906722118649,422440.3300000001,422440.3300000001,2701550.25,2701550.25,0,3,6,
2014-04-02,,COGS,4.901474407652669,4.901474407652669,692365.2300000004,692365.2300000004,4476315.220000001,4476315.220000001,1,2,4,11843249.22
2016-04-27,,COGS,4.883374631403631,4.883374631403631,3995092.49,3995092.49,3907506.42,3907506.42,0,2,4,13128158.81
2016-06-29,,COGS,4.861879742579545,4.861879742579545,5139349.750000001,5139349.750000001,5135191.78,5135191.78,1,2,6,13303063.47
2017-06-01,17639270.88,Revenue,4.858220103311018,4.858220103311018,324429.01999999955,324429.01999999955,4641629.279999999,4641629.279999999,0,3,6,
2014-03-30,,COGS,4.850236779261626,4.850236779261626,5455003.119999999,5455003.119999999,7030518.539999999,7030518.539999999,1,6,3,11757805.12
2016-05-31,15273734.62,Revenue,4.827017206987596,4.827017206987596,-628910.4400000013,628910.4400000013,7090382.749999999,7090382.749999999,0,1,5,
2015-04-29,15294818.22,Revenue,4.822470388155506,4.822470388155506,923293.2100000009,923293.2100000009,6194932.08,6194932.08,0,2,4,
2017-06-02,17528852.88,Revenue,4.81603920354808,4.81603920354808,-110418.0,110418.0,6604267.959999999,6604267.959999999,0,4,6,
