feature,shap_mean_abs
Revenue_lag_1,938096.9362403924
COGS_lag_1,179113.9935104108
Revenue_lag_7,150905.36925591546
dayofmonth,118492.64329005849
trend,100541.22118765024
COGS_lag_365,94859.76890413673
Revenue_lag_365,79019.61506084546
rev_dom_mean,78910.17335561679
rev_month_dow_mean,76495.1586354361
Revenue_rmin_7,60830.235831919366
Revenue_lag_28,48049.759208513846
COGS_lag_7,46572.954971335115
Revenue_rmin_14,42675.57476943692
Revenue_lag_14,38944.7847392089
dayofyear_sin,24342.234014810896
COGS_lag_28,21809.926989545045
active_discount_sum,21243.90439236097
cogs_dom_mean,21088.168958455946
COGS_lag_14,20818.77916423089
Revenue_yoy_ratio,18248.014822752128
rev_woy_mean,18114.594917837218
dayofweek_cos,15394.529142809362
Revenue_momentum,15184.043350919283
fourier_sin_1,14116.427058378895
year,13312.335170444132
rev_dow_std,12488.400630243586
dayofweek,12041.82437832632
rev_woy_std,11116.630530129718
Revenue_lag_90,10758.309140545565
rev_dow_median,10660.218995074847
Revenue_mom_ratio,10415.284136177515
COGS_rstd_7,10110.679856557117
avg_sessions_dow,9809.45841750312
COGS_rmean_28,9735.159730928255
fourier_cos_3,9688.501544469647
fourier_sin_3,9356.235596517829
Revenue_diff_7,9107.084908718538
Revenue_lag_21,8987.404822688259
COGS_lag_21,8691.815554092189
COGS_rmedian_7,8681.289346926336
Revenue_rmin_365,8226.316181446771
COGS_lag_90,8151.460313597524
days_to_next_promo_start,7962.934274109628
Revenue_rmedian_7,7676.638884511193
Revenue_lag_2,7554.264569552377
Revenue_rmedian_28,7246.930164032251
Revenue_rmax_7,7241.875669407704
Revenue_rmean_365,7191.619968292242
COGS_rstd_28,6966.0238240927965
Revenue_wow_ratio,6790.3754848651515
cogs_woy_mean,6742.982905002923
fourier_sin_5,6688.1376129070295
COGS_lag_180,6521.692447298777
Revenue_diff_1,6250.314434984275
Revenue_rstd_365,6141.743161810127
COGS_rstd_14,6016.0057638478565
Revenue_rmean_60,5896.256736130659
COGS_lag_60,5265.279225874235
days_since_last_promo_end,5221.891054126041
COGS_rmax_28,5176.8024712710185
COGS_rmean_7,5166.820907822288
dayofyear,5075.043623907309
fourier_cos_4,4924.601862926239
Revenue_rmean_28,4919.927121820376
Revenue_lag_180,4856.992022181978
Revenue_rstd_60,4838.005586147057
Revenue_rmedian_365,4602.690209323753
Revenue_rmean_7,4576.01417635584
fourier_cos_5,4561.264330385686
COGS_rmedian_14,4504.633181205266
COGS_rmin_14,4309.909037676808
Revenue_rstd_7,4069.388323706231
Revenue_lag_3,4059.667294010461
rev_dow_mean,4058.708181181587
dayofweek_sin,3856.3237571823106
fourier_sin_4,3835.473790693357
Revenue_rstd_28,3688.1662968876576
avg_visitors_dow,3649.921096417915
Revenue_rmedian_14,3556.9790708467026
COGS_rmin_7,3418.7131682895056
Revenue_rmax_14,3301.1818590422267
Revenue_rmin_180,3235.718335571553
COGS_lag_3,3110.1177514098713
COGS_rmedian_28,3097.0283297735846
COGS_rmax_90,3088.401291835053
promo_dow_pressure,3024.2955780775387
Revenue_lag_60,3006.7249813595736
Revenue_rstd_14,2996.3706409672254
COGS_lag_2,2994.5788647359313
COGS_rmean_14,2977.8848342028937
Revenue_rmin_28,2896.3550865751936
Revenue_rmean_14,2854.1005094776474
fourier_sin_2,2815.4175187938336
dayofyear_cos,2750.0374653092463
COGS_rstd_90,2436.9115252863758
Revenue_rmax_180,2321.1679151266367
rev_month_std,2315.499421578542
Revenue_rmean_180,2249.4192496414
avg_cancel_rate_dow,2075.196162968237
Revenue_rstd_180,1975.825870408874
COGS_rmax_7,1971.901084480583
COGS_rmin_28,1863.8168275105388
active_fixed_count,1838.4088605401212
month_sin,1793.2775041917046
Revenue_rmax_60,1580.7636434110082
fourier_cos_2,1506.7886378659427
COGS_rmax_14,1471.768499390814
Revenue_rmedian_180,1415.0907107012342
Revenue_rstd_90,1339.331094376884
rev_month_mean,1178.7520238943966
avg_orders_dow,1132.7820400374312
Revenue_rmean_90,1126.6306699736629
avg_bounce_month,1121.6649035016685
COGS_rmean_90,1099.4196994254532
fourier_cos_1,1061.1295474652172
COGS_rmedian_90,1050.8707985908575
Revenue_rmedian_90,1034.5390072702967
COGS_rmin_90,956.437924494371
active_promo_count,945.4070390619435
avg_refund_month,939.0627969135658
Revenue_rmin_90,871.2344292487111
avg_returns_month,864.8449550915159
Revenue_rmedian_60,801.9732452287968
avg_cancel_rate_month,776.3535220773224
Revenue_rmin_60,761.2503447141484
Revenue_rmax_90,727.0713116605101
Revenue_rmax_28,684.3166807283152
avg_orders_month,593.1330248285417
weekofyear,557.1721222508545
rev_month_median,552.2256021123269
avg_fill_rate_month,545.2918863105725
avg_stockout_rate_month,486.543497225843
after_promo_7d,404.543861163021
cogs_month_mean,378.3867835379113
month,370.435296458564
month_cos,287.5023939162407
cogs_dow_mean,272.542852388485
avg_promos_month,240.8439792090973
promo_weekend_discount,223.02675399202232
Revenue_rmax_365,200.52091329547704
avg_sell_through_month,121.80232754431547
is_weekend,114.72853785929156
next_promo_7d,106.93376053190084
active_pct_count,13.597067678645416
is_month_start,0.0
is_month_end,0.0
quarter,0.0
promo_monthend_discount,0.0
is_promo_active,0.0
rev_qtr_mean,0.0
cogs_qtr_mean,0.0
avg_sessions_month,0.0
