step,elapsed_sec,validation_0_mae,validation_1_mae
0,31.3,1940510.121828143,
50,31.3,631931.6050497405,
100,31.3,349069.78168252594,
150,31.3,263775.09528186277,
200,31.3,218499.34207396195,
250,31.3,186648.85381523933,
300,31.3,162518.85806841118,
350,31.3,137810.61458333334,
400,31.3,118751.29378424164,
450,31.3,101665.88656105824,
500,31.3,87861.95856761822,
550,31.3,75604.94141976643,
600,31.3,65010.58819023933,
650,31.3,55579.42368620242,
700,31.3,48406.0070736015,
750,31.3,41579.58924452134,
800,31.3,35326.43899581891,
850,31.3,30309.951629181083,
900,31.3,26347.23003171857,
950,31.3,22806.54634335352,
1000,31.3,19864.851652609574,
1050,31.3,17248.040927768165,
1100,31.3,15017.543000288351,
1150,31.3,13013.398725850635,
1200,31.3,11202.21272166955,
1250,31.3,9767.802200475779,
1300,31.3,8507.154114403114,
1350,31.3,7431.975337009804,
1400,31.3,6424.6413008218,
1450,31.3,5672.846732626875,
1500,31.3,4939.170829728951,
1550,31.3,4304.9804732554785,
1600,31.3,3768.6233149509803,
1650,31.3,3313.909538999423,
1700,31.3,2891.93827494233,
1750,31.3,2540.675542459631,
1800,31.3,2232.3337838811995,
1850,31.3,1971.62308066609,
1900,31.3,1735.6229364907729,
1950,31.3,1517.6581332900807,
2000,31.3,1332.1879595588234,
2050,31.3,1155.152131992503,
2100,31.3,1012.8099589100347,
2150,31.3,883.7187680219147,
2200,31.3,776.9255694925029,
2250,31.3,680.0147058823529,
2300,31.3,596.5972372404844,
2350,31.3,524.8680255190311,
2400,31.3,459.6736681805075,
2450,31.3,403.58315311418687,
2500,31.3,354.04686598904266,
2550,31.3,310.16775699250286,
2600,31.3,270.9839965397924,
2650,31.3,236.13908412629758,
2700,31.3,208.46563220876587,
2750,31.3,184.37062067474048,
2800,31.3,161.27277970011534,
2850,31.3,142.18221056805075,
2900,31.3,125.00459558823529,
2950,31.3,110.95647707612457,
0,31.3,,1701254.2424657533
50,31.3,,647896.6381849315
100,31.3,,556124.1217465753
150,31.3,,554531.6859589041
200,31.3,,556673.6989726027
250,31.3,,556543.7070205479
300,31.3,,556765.1840753425
350,31.3,,556324.3068493151
400,31.3,,557221.4458904109
450,31.3,,557606.1488013698
500,31.3,,557821.4859589041
550,31.3,,558558.2224315068
600,31.3,,558892.3876712329
650,31.3,,559664.3883561643
700,31.3,,559919.1450342466
750,31.3,,560417.3364726028
800,31.3,,560397.4053082191
850,31.3,,560788.7948630137
900,31.3,,561010.2311643836
950,31.3,,560885.3381849315
1000,31.3,,560888.8491438356
1050,31.3,,561107.7839041096
1100,31.3,,561242.5565068494
1150,31.3,,561231.441609589
1200,31.3,,561350.5025684931
1250,31.3,,561274.6994863014
1300,31.3,,561161.5601027397
1350,31.3,,561214.6868150685
1400,31.3,,561267.338869863
1450,31.3,,561255.8921232877
1500,31.3,,561222.490239726
1550,31.3,,561237.9630136986
1600,31.3,,561269.7366438357
1650,31.3,,561281.2034246576
1700,31.3,,561281.3796232877
1750,31.3,,561281.361130137
1800,31.3,,561299.7080479452
1850,31.3,,561267.5261986301
1900,31.3,,561263.3650684932
1950,31.3,,561270.3482876712
2000,31.3,,561283.2359589041
2050,31.3,,561284.6613013699
2100,31.3,,561288.2647260274
2150,31.3,,561296.1344178083
2200,31.3,,561301.5587328767
2250,31.3,,561304.2085616438
2300,31.3,,561308.3866438356
2350,31.3,,561306.7606164383
2400,31.3,,561304.6335616439
2450,31.3,,561304.6205479453
2500,31.3,,561303.773630137
2550,31.3,,561302.670890411
2600,31.3,,561300.6856164384
2650,31.3,,561298.4224315068
2700,31.3,,561300.1190068494
2750,31.3,,561298.881849315
2800,31.3,,561299.5008561644
2850,31.3,,561299.8931506849
2900,31.3,,561299.3864726027
2950,31.3,,561299.4309931507
