fold,train_end,val_start,val_end,n_features,mae,rmse,r2,method,note,delta_vs_fold_baseline_mae
tsfold_1,2018-01-01,2018-01-02,2019-01-01,124,793786.8749639246,1093500.446197941,0.8807718422429812,baseline_plus_returns_lags,adds lagged returns and refunds aggregates,-4584.9337122918805
tsfold_1,2018-01-01,2018-01-02,2019-01-01,124,795439.8316842994,1108137.3517521126,0.8775586549003315,baseline_plus_orders_payments_lags,adds lagged orders and payment aggregates,-2931.976991917123
tsfold_1,2018-01-01,2018-01-02,2019-01-01,112,798371.8086762165,1087567.1537192736,0.8820621870782742,baseline_autoreg,calendar + lag + rolling + growth,0.0
tsfold_1,2018-01-01,2018-01-02,2019-01-01,124,798808.9666930482,1082902.8778856678,0.8830716233911646,baseline_plus_promo_interactions,adds known-future promo interactions with calendar harmonics,437.1580168317305
tsfold_1,2018-01-01,2018-01-02,2019-01-01,118,814046.6238417305,1104361.8294307229,0.8783915706326715,baseline_plus_promo_known_future,adds promo/event features available for all future dates,15674.81516551401
tsfold_1,2018-01-01,2018-01-02,2019-01-01,116,814506.015289499,1098538.825136785,0.879670607098935,baseline_plus_std_profiles,adds train-only standard seasonal profiles,16134.20661328244
tsfold_1,2018-01-01,2018-01-02,2019-01-01,120,814872.3620271503,1122163.9956680464,0.8744393471581473,baseline_plus_shipments_lags,adds lagged shipment aggregates,16500.553350933827
tsfold_1,2018-01-01,2018-01-02,2019-01-01,116,815434.2844254107,1097892.7963131722,0.8798120921275766,baseline_plus_recency_profiles,adds train-only recency-weighted seasonal profiles,17062.475749194156
tsfold_1,2018-01-01,2018-01-02,2019-01-01,164,816706.2642317184,1157942.9732582236,0.8663049747300575,baseline_plus_all_aux_lags,adds all lagged auxiliary aggregates,18334.45555550186
tsfold_1,2018-01-01,2018-01-02,2019-01-01,180,816973.1988798756,1138124.1270263728,0.8708423411043617,kitchen_sink_recency,all tested blocks together with recency profiles,18601.390203659073
tsfold_1,2018-01-01,2018-01-02,2019-01-01,132,819649.7769203146,1126340.4559523365,0.8735029868153118,baseline_plus_web_lags,adds lagged web traffic aggregates,21277.968244098127
tsfold_1,2018-01-01,2018-01-02,2019-01-01,128,820892.5652909077,1100482.398559915,0.8792444484792562,baseline_plus_promo_inter_std_profiles,promo interactions + train-only standard profiles,22520.75661469123
tsfold_1,2018-01-01,2018-01-02,2019-01-01,122,826370.8067722252,1106010.7925875608,0.8780281434986268,baseline_plus_promo_std_profiles,promo/event + train-only standard profiles,27998.99809600867
tsfold_2,2019-01-01,2019-01-02,2020-01-01,124,735354.3523134284,1030395.3330571314,0.605915355402467,baseline_plus_orders_payments_lags,adds lagged orders and payment aggregates,-43378.20298368309
tsfold_2,2019-01-01,2019-01-02,2020-01-01,120,738148.011680541,1016997.3609049218,0.6160970945652514,baseline_plus_shipments_lags,adds lagged shipment aggregates,-40584.54361657053
tsfold_2,2019-01-01,2019-01-02,2020-01-01,112,778732.5552971115,1089804.442964014,0.5591621300290611,baseline_autoreg,calendar + lag + rolling + growth,0.0
tsfold_2,2019-01-01,2019-01-02,2020-01-01,164,779940.5886133194,1070812.576121933,0.5743930871823646,baseline_plus_all_aux_lags,adds all lagged auxiliary aggregates,1208.0333162079332
