fold,variant,n_features,mae_revenue,mae_cogs,mae_overall,tree_lgb_share,tree_xgb_share
fold_2020,v2_lgbm_up_more,153,904844.0812944126,914716.3077472942,909780.1945208535,0.7222222222222223,0.2777777777777778
fold_2020,v1_lgbm_up,153,909381.6021842064,933254.09685308,921317.8495186432,0.6857142857142857,0.31428571428571433
fold_2020,v3_lgbm_up_soft,153,914708.2606536108,955252.5939059785,934980.4272797946,0.6428571428571429,0.35714285714285715
fold_2020,baseline_861style,153,923586.0215816703,992390.4713336197,957988.246457645,0.5714285714285715,0.4285714285714286
fold_2021,v2_lgbm_up_more,153,617838.5308648912,944646.8939913755,781242.7124281334,0.7222222222222223,0.2777777777777778
fold_2021,v1_lgbm_up,153,628460.7258135992,943894.2746842318,786177.5002489155,0.6857142857142857,0.31428571428571433
fold_2021,v3_lgbm_up_soft,153,643686.5488918904,943010.7597880855,793348.654339988,0.6428571428571429,0.35714285714285715
fold_2021,baseline_861style,153,672902.2632642576,941862.0746242221,807382.1689442398,0.5714285714285715,0.4285714285714286
fold_2022,v2_lgbm_up_more,153,675009.549379367,896880.9198607818,785945.2346200744,0.7222222222222223,0.2777777777777778
fold_2022,v1_lgbm_up,153,675428.5538181403,901029.1645966216,788228.859207381,0.6857142857142857,0.31428571428571433
fold_2022,v3_lgbm_up_soft,153,676589.7405912504,906510.827761893,791550.2841765718,0.6428571428571429,0.35714285714285715
fold_2022,baseline_861style,153,680811.4288378455,915976.9856109762,798394.2072244108,0.5714285714285715,0.4285714285714286
