method,feature,mean_importance
baseline_v3_core,Revenue_lag_1,794.5
baseline_v3_core,dayofmonth,782.0
baseline_v3_core,Revenue_diff_1,754.5
baseline_v3_core,COGS_lag_365,670.0
baseline_v3_core,Revenue_lag_7,667.25
baseline_v3_core,Revenue_yoy_ratio,665.5
baseline_v3_core,Revenue_mom_ratio,636.75
baseline_v3_core,Revenue_lag_365,630.5
baseline_v3_core,rev_over_cogs_lag1,608.0
baseline_v3_core,Revenue_wow_ratio,583.5
baseline_v3_core,COGS_lag_7,507.75
baseline_v3_core,COGS_lag_90,504.25
baseline_v3_core,fourier_cos_3,498.75
baseline_v3_core,Revenue_lag_28,497.5
baseline_v3_core,rev_over_cogs_lag7,497.25
baseline_v3_core,Revenue_lag_90,485.25
baseline_v3_core,COGS_lag_28,482.5
baseline_v3_core,Revenue_lag_60,480.0
baseline_v3_core,Revenue_momentum,477.0
baseline_v3_core,COGS_lag_1,468.0
baseline_v3_core,Revenue_lag_180,467.5
baseline_v3_core,COGS_lag_60,466.5
baseline_v3_core,Revenue_diff_7,459.25
baseline_v3_core,Revenue_lag_14,447.25
baseline_v3_core,COGS_lag_14,446.25
baseline_v3_core,Revenue_lag_21,425.75
baseline_v3_core,COGS_lag_3,390.0
baseline_v3_core,Revenue_lag_3,386.5
baseline_v3_core,fourier_sin_3,384.0
baseline_v3_core,COGS_lag_21,370.25
baseline_v3_core,COGS_rstd_7,366.25
baseline_v3_core,Revenue_lag_2,365.5
baseline_v3_core,dayofweek,365.5
baseline_v3_core,COGS_lag_180,347.75
baseline_v3_core,COGS_lag_2,344.5
baseline_v3_core,Revenue_rstd_7,336.25
baseline_v3_core,fourier_cos_5,327.5
baseline_v3_core,fourier_sin_5,321.75
baseline_v3_core,fourier_sin_4,285.0
baseline_v3_core,dayofweek_sin,279.5
baseline_v3_core,Revenue_rstd_14,278.25
baseline_v3_core,dayofyear_sin,271.25
baseline_v3_core,days_to_next_promo_start,271.0
baseline_v3_core,trend,268.75
baseline_v3_core,Revenue_rmin_7,262.25
baseline_v3_core,dayofweek_cos,257.0
baseline_v3_core,COGS_rstd_28,254.75
baseline_v3_core,COGS_rstd_14,254.25
baseline_v3_core,fourier_cos_4,242.25
baseline_v3_core,COGS_rmin_7,236.5
baseline_v3_core,Revenue_rstd_365,236.0
baseline_v3_core,days_since_last_promo_end,229.25
baseline_v3_core,Revenue_rstd_28,220.5
baseline_v3_core,fourier_sin_2,216.25
baseline_v3_core,Revenue_rmin_14,208.5
baseline_v3_core,Revenue_rmedian_7,207.25
baseline_v3_core,Revenue_rmean_365,205.25
baseline_v3_core,Revenue_rmedian_365,204.75
baseline_v3_core,COGS_rmean_7,202.0
baseline_v3_core,Revenue_rmean_7,194.0
baseline_v3_core,COGS_rmedian_7,185.25
baseline_v3_core,Revenue_rstd_60,184.5
baseline_v3_core,COGS_rmin_14,172.75
baseline_v3_core,COGS_rmedian_14,158.0
baseline_v3_core,COGS_rmean_14,155.75
baseline_v3_core,Revenue_rmedian_14,152.5
baseline_v3_core,Revenue_rmean_180,152.0
baseline_v3_core,Revenue_rstd_180,151.25
baseline_v3_core,COGS_rmean_28,148.25
baseline_v3_core,COGS_rstd_90,147.75
baseline_v3_core,Revenue_rmean_28,147.75
baseline_v3_core,Revenue_rmean_14,145.75
baseline_v3_core,Revenue_rmin_28,142.25
baseline_v3_core,Revenue_rmax_7,141.25
baseline_v3_core,Revenue_rmin_90,136.0
baseline_v3_core,COGS_rmax_7,132.75
baseline_v3_core,Revenue_rstd_90,132.75
baseline_v3_core,Revenue_rmin_60,131.25
baseline_v3_core,fourier_cos_2,118.0
baseline_v3_core,Revenue_rmin_180,116.0
baseline_v3_core,Revenue_rmedian_180,114.0
baseline_v3_core,COGS_rmax_28,110.75
baseline_v3_core,dayofyear,110.25
baseline_v3_core,Revenue_rmedian_28,109.5
baseline_v3_core,Revenue_rmin_365,107.5
baseline_v3_core,dayofyear_cos,104.0
baseline_v3_core,Revenue_rmax_14,98.25
baseline_v3_core,COGS_rmedian_28,96.5
baseline_v3_core,COGS_rmax_14,93.75
baseline_v3_core,COGS_rmin_28,91.5
baseline_v3_core,Revenue_rmean_60,90.25
baseline_v3_core,fourier_sin_1,86.5
baseline_v3_core,Revenue_rmean_90,79.0
baseline_v3_core,Revenue_rmax_28,77.5
baseline_v3_core,Revenue_rmedian_60,77.0
baseline_v3_core,Revenue_rmedian_90,70.75
baseline_v3_core,COGS_rmedian_90,67.5
baseline_v3_core,COGS_rmean_90,67.0
baseline_v3_core,COGS_rmin_90,66.5
baseline_v3_core,COGS_rmax_90,58.25
baseline_v3_core,Revenue_rmax_60,57.0
baseline_v3_core,Revenue_rmax_90,53.75
baseline_v3_core,Revenue_rmax_180,50.0
baseline_v3_core,weekofyear,49.0
baseline_v3_core,year,37.0
baseline_v3_core,Revenue_rmax_365,27.75
baseline_v3_core,fourier_cos_1,26.25
baseline_v3_core,active_discount_sum,22.75
baseline_v3_core,month_sin,16.75
baseline_v3_core,month_cos,14.0
baseline_v3_core,is_month_start,12.5
baseline_v3_core,active_promo_count,5.5
baseline_v3_core,active_pct_count,4.0
baseline_v3_core,is_weekend,4.0
baseline_v3_core,month,4.0
baseline_v3_core,is_month_end,2.75
baseline_v3_core,active_fixed_count,1.5
baseline_v3_core,is_promo_active,0.25
baseline_v3_core,quarter,0.0
core_plus_promo_interactions,dayofmonth,762.25
core_plus_promo_interactions,Revenue_lag_1,751.0
core_plus_promo_interactions,Revenue_diff_1,696.0
core_plus_promo_interactions,Revenue_yoy_ratio,678.0
core_plus_promo_interactions,Revenue_lag_365,643.75
core_plus_promo_interactions,COGS_lag_365,641.75
