fold,train_end,val_start,val_end,train_days,val_days,n_features,model,mae,rmse,r2,method,note,delta_vs_fold_baseline_mae
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,124,lightgbm,782244.0391646851,1070878.8350668899,0.885653842577656,core_plus_promo_interactions,core plus richer promo timing/intensity interactions,-18220.733341089333
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,130,lightgbm,794631.9181013694,1103647.6861166218,0.8785487976659132,core_plus_regime_features,core plus volatility/regime trend interactions,-5832.854404404992
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,155,lightgbm,798611.987434706,1110895.0374038164,0.876948487072286,deep_combo_blend,deeper blend: promo+regime+selected aux+std/rec profiles,-1852.7850710684434
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,123,lightgbm,798662.3873554508,1088493.7756587183,0.8818611322373053,core_plus_std_profiles,core plus fold-safe standard seasonal profiles,-1802.385150323622
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,119,lightgbm,800464.7725057744,1110837.4497132364,0.8769612444769752,baseline_v3_core,v3 core features + known-future promo basics,0.0
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,131,lightgbm,804094.7427448148,1142330.195500422,0.8698859431891183,core_plus_selected_aux_lags,core plus selected lagged aux signals (web/orders/returns/ship),3629.970239040442
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,128,lightgbm,808035.9980680966,1100912.3655535057,0.8791500697877591,deep_combo_promo_std,core plus promo interactions plus std profiles,7571.225562322186
tscv_1,2018-01-01,2018-01-02,2019-01-01,2008,365,123,lightgbm,811161.9836203111,1105423.8505611583,0.8781575661284295,core_plus_recency_profiles,core plus fold-safe recency-weighted seasonal profiles,10697.211114536738
tscv_2,2019-01-01,2019-01-02,2020-01-01,2373,365,124,lightgbm,716959.5647435244,972405.191982022,0.6490249172579043,core_plus_promo_interactions,core plus richer promo timing/intensity interactions,-40645.89742457541
tscv_2,2019-01-01,2019-01-02,2020-01-01,2373,365,131,lightgbm,737589.0811386348,993335.816955186,0.6337531167882196,core_plus_selected_aux_lags,core plus selected lagged aux signals (web/orders/returns/ship),-20016.381029465003
tscv_2,2019-01-01,2019-01-02,2020-01-01,2373,365,119,lightgbm,757605.4621680998,1007559.2915084522,0.623189521122804,baseline_v3_core,v3 core features + known-future promo basics,0.0
tscv_2,2019-01-01,2019-01-02,2020-01-01,2373,365,130,lightgbm,789609.7404295905,1067654.1414844608,0.5769000975863643,core_plus_regime_features,core plus volatility/regime trend interactions,32004.278261490632
tscv_2,2019-01-01,2019-01-02,2020-01-01,2373,365,123,lightgbm,816364.59834281,1114902.1602192784,0.5386237222528185,core_plus_recency_profiles,core plus fold-safe recency-weighted seasonal profiles,58759.13617471012
