method,feature,mean_importance
core_plus_selected_aux_lags,dayofmonth,559.5
core_plus_selected_aux_lags,Revenue_lag_1,537.0
core_plus_selected_aux_lags,COGS_lag_365,351.0
core_plus_selected_aux_lags,Revenue_lag_365,300.5
core_plus_selected_aux_lags,Revenue_lag_7,223.0
core_plus_selected_aux_lags,order_count_lag_7,221.0
core_plus_selected_aux_lags,Revenue_lag_14,186.0
core_plus_selected_aux_lags,fourier_cos_3,179.5
core_plus_selected_aux_lags,COGS_lag_14,178.0
core_plus_selected_aux_lags,dayofyear_sin,175.5
core_plus_selected_aux_lags,Revenue_lag_28,172.0
core_plus_selected_aux_lags,COGS_lag_28,171.5
core_plus_selected_aux_lags,pay_total_lag_7,170.5
core_plus_selected_aux_lags,rev_over_cogs_lag1,168.0
core_plus_selected_aux_lags,Revenue_yoy_ratio,166.0
core_plus_selected_aux_lags,Revenue_diff_1,158.0
core_plus_selected_aux_lags,Revenue_wow_ratio,157.0
core_plus_selected_aux_lags,Revenue_momentum,151.0
core_plus_selected_aux_lags,fourier_sin_3,149.5
core_plus_selected_aux_lags,Revenue_mom_ratio,148.5
core_plus_selected_aux_lags,COGS_lag_1,147.0
core_plus_selected_aux_lags,Revenue_lag_90,147.0
core_plus_selected_aux_lags,Revenue_diff_7,144.5
core_plus_selected_aux_lags,COGS_lag_90,143.0
core_plus_selected_aux_lags,cancel_rate_lag_7,131.0
core_plus_selected_aux_lags,dayofweek,128.0
core_plus_selected_aux_lags,dayofweek_cos,123.0
core_plus_selected_aux_lags,COGS_rstd_7,120.0
core_plus_selected_aux_lags,rev_over_cogs_lag7,117.0
core_plus_selected_aux_lags,Revenue_lag_2,115.0
core_plus_selected_aux_lags,COGS_lag_7,114.5
core_plus_selected_aux_lags,Revenue_rmin_7,113.0
core_plus_selected_aux_lags,dayofweek_sin,113.0
core_plus_selected_aux_lags,Revenue_rmedian_7,111.0
core_plus_selected_aux_lags,Revenue_lag_180,108.0
core_plus_selected_aux_lags,fourier_sin_5,105.5
core_plus_selected_aux_lags,page_views_lag_7,103.0
core_plus_selected_aux_lags,COGS_lag_60,100.0
core_plus_selected_aux_lags,bounce_rate_lag_7,100.0
core_plus_selected_aux_lags,refund_total_lag_7,99.5
