method,feature,mean_importance
baseline_v3_core,dayofmonth,607.5
baseline_v3_core,Revenue_lag_1,528.0
baseline_v3_core,Revenue_lag_7,403.0
baseline_v3_core,COGS_lag_365,361.5
baseline_v3_core,Revenue_lag_365,308.0
baseline_v3_core,fourier_cos_3,216.5
baseline_v3_core,rev_over_cogs_lag1,206.0
baseline_v3_core,Revenue_yoy_ratio,204.0
baseline_v3_core,COGS_lag_28,195.0
baseline_v3_core,Revenue_lag_14,193.0
baseline_v3_core,Revenue_diff_1,187.5
baseline_v3_core,COGS_lag_7,184.0
baseline_v3_core,COGS_lag_14,175.5
baseline_v3_core,dayofyear_sin,174.0
baseline_v3_core,Revenue_mom_ratio,173.5
baseline_v3_core,Revenue_wow_ratio,173.5
baseline_v3_core,Revenue_lag_28,169.0
baseline_v3_core,Revenue_momentum,165.5
baseline_v3_core,COGS_lag_1,163.0
baseline_v3_core,COGS_lag_90,161.5
baseline_v3_core,fourier_sin_3,158.0
baseline_v3_core,Revenue_lag_90,157.5
baseline_v3_core,dayofweek,145.0
baseline_v3_core,rev_over_cogs_lag7,137.5
baseline_v3_core,Revenue_diff_7,133.5
baseline_v3_core,dayofweek_cos,133.5
baseline_v3_core,dayofweek_sin,132.5
baseline_v3_core,Revenue_lag_180,126.0
baseline_v3_core,Revenue_rmin_7,125.5
baseline_v3_core,Revenue_lag_2,123.5
baseline_v3_core,Revenue_lag_60,123.0
baseline_v3_core,fourier_sin_5,120.0
baseline_v3_core,COGS_rstd_7,117.5
baseline_v3_core,Revenue_rmedian_7,114.0
baseline_v3_core,Revenue_lag_21,113.5
baseline_v3_core,trend,110.5
baseline_v3_core,Revenue_lag_3,106.0
baseline_v3_core,COGS_lag_2,105.5
baseline_v3_core,COGS_lag_180,101.0
baseline_v3_core,COGS_lag_21,100.5
baseline_v3_core,Revenue_rmin_14,100.0
baseline_v3_core,fourier_sin_4,100.0
baseline_v3_core,COGS_rmin_7,98.5
baseline_v3_core,days_since_last_promo_end,97.5
baseline_v3_core,COGS_lag_3,97.0
baseline_v3_core,Revenue_rstd_7,94.0
baseline_v3_core,COGS_lag_60,91.5
baseline_v3_core,days_to_next_promo_start,87.0
baseline_v3_core,COGS_rstd_28,85.0
baseline_v3_core,Revenue_rmean_365,83.0
baseline_v3_core,Revenue_rmean_7,80.0
baseline_v3_core,fourier_sin_1,79.0
baseline_v3_core,fourier_cos_4,74.0
baseline_v3_core,fourier_cos_5,74.0
baseline_v3_core,COGS_rstd_14,73.5
baseline_v3_core,Revenue_rstd_14,73.0
baseline_v3_core,Revenue_rstd_365,69.5
baseline_v3_core,Revenue_rmedian_365,69.0
baseline_v3_core,COGS_rmean_7,68.5
baseline_v3_core,COGS_rmean_28,67.0
baseline_v3_core,fourier_sin_2,66.0
baseline_v3_core,COGS_rmedian_7,63.5
baseline_v3_core,Revenue_rstd_28,61.0
baseline_v3_core,Revenue_rmax_7,60.0
baseline_v3_core,COGS_rmin_14,55.5
baseline_v3_core,Revenue_rmin_60,53.0
baseline_v3_core,COGS_rmax_28,48.5
baseline_v3_core,COGS_rmedian_14,48.5
baseline_v3_core,COGS_rstd_90,48.0
baseline_v3_core,Revenue_rstd_60,48.0
baseline_v3_core,Revenue_rmin_28,46.5
baseline_v3_core,Revenue_rmean_28,46.0
baseline_v3_core,COGS_rmax_7,45.5
baseline_v3_core,Revenue_rstd_90,42.5
baseline_v3_core,dayofyear_cos,42.5
baseline_v3_core,COGS_rmean_14,40.5
baseline_v3_core,Revenue_rmax_14,40.5
baseline_v3_core,Revenue_rmean_14,40.5
baseline_v3_core,Revenue_rmean_180,40.0
baseline_v3_core,dayofyear,39.5
baseline_v3_core,Revenue_rmin_180,38.5
baseline_v3_core,Revenue_rmin_90,38.0
baseline_v3_core,Revenue_rmedian_14,37.5
baseline_v3_core,Revenue_rmedian_180,37.5
baseline_v3_core,Revenue_rmax_28,34.5
baseline_v3_core,COGS_rmin_28,34.0
baseline_v3_core,Revenue_rmin_365,33.5
baseline_v3_core,Revenue_rmedian_28,33.0
baseline_v3_core,COGS_rmedian_28,31.5
baseline_v3_core,fourier_cos_2,31.0
baseline_v3_core,Revenue_rmean_60,26.5
baseline_v3_core,Revenue_rstd_180,26.0
baseline_v3_core,Revenue_rmax_60,25.5
baseline_v3_core,COGS_rmax_14,25.0
baseline_v3_core,COGS_rmedian_90,21.5
baseline_v3_core,Revenue_rmedian_90,20.5
baseline_v3_core,Revenue_rmedian_60,19.5
baseline_v3_core,Revenue_rmax_90,19.0
baseline_v3_core,COGS_rmax_90,18.5
baseline_v3_core,Revenue_rmean_90,18.0
baseline_v3_core,Revenue_rmax_180,17.5
baseline_v3_core,active_discount_sum,17.0
baseline_v3_core,COGS_rmin_90,16.5
baseline_v3_core,weekofyear,16.5
baseline_v3_core,month_sin,14.5
baseline_v3_core,Revenue_rmax_365,13.0
baseline_v3_core,COGS_rmean_90,12.5
baseline_v3_core,year,12.5
baseline_v3_core,fourier_cos_1,6.0
baseline_v3_core,is_month_start,6.0
baseline_v3_core,month_cos,5.0
baseline_v3_core,active_promo_count,3.5
baseline_v3_core,active_pct_count,3.0
baseline_v3_core,active_fixed_count,2.0
baseline_v3_core,is_month_end,1.5
baseline_v3_core,is_weekend,1.5
baseline_v3_core,month,0.5
baseline_v3_core,is_promo_active,0.0
baseline_v3_core,quarter,0.0
core_plus_promo_interactions,dayofmonth,576.0
core_plus_promo_interactions,Revenue_lag_1,512.5
core_plus_promo_interactions,Revenue_lag_7,362.5
core_plus_promo_interactions,COGS_lag_365,346.0
core_plus_promo_interactions,Revenue_lag_365,302.5
core_plus_promo_interactions,rev_over_cogs_lag1,214.5
core_plus_promo_interactions,COGS_lag_7,211.5
core_plus_promo_interactions,Revenue_lag_14,204.5
core_plus_promo_interactions,Revenue_diff_1,198.0
core_plus_promo_interactions,fourier_cos_3,192.5
core_plus_promo_interactions,dayofyear_sin,191.0
core_plus_promo_interactions,COGS_lag_28,185.5
core_plus_promo_interactions,COGS_lag_14,183.5
core_plus_promo_interactions,COGS_lag_1,182.0
core_plus_promo_interactions,Revenue_lag_28,180.5
core_plus_promo_interactions,Revenue_yoy_ratio,172.0
core_plus_promo_interactions,fourier_sin_3,172.0
core_plus_promo_interactions,Revenue_wow_ratio,171.5
core_plus_promo_interactions,COGS_lag_90,169.5
core_plus_promo_interactions,Revenue_mom_ratio,159.0
core_plus_promo_interactions,Revenue_momentum,156.0
core_plus_promo_interactions,Revenue_diff_7,152.0
core_plus_promo_interactions,Revenue_lag_90,152.0
core_plus_promo_interactions,dayofweek,136.5
core_plus_promo_interactions,dayofweek_sin,132.0
core_plus_promo_interactions,rev_over_cogs_lag7,129.5
core_plus_promo_interactions,dayofweek_cos,124.0
core_plus_promo_interactions,COGS_rstd_7,121.5
core_plus_promo_interactions,Revenue_lag_2,121.5
core_plus_promo_interactions,Revenue_rmin_7,118.5
core_plus_promo_interactions,Revenue_lag_180,117.5
core_plus_promo_interactions,trend,114.5
core_plus_promo_interactions,COGS_lag_21,114.0
core_plus_promo_interactions,Revenue_lag_21,112.0
core_plus_promo_interactions,Revenue_lag_60,110.0
core_plus_promo_interactions,COGS_lag_2,109.5
core_plus_promo_interactions,Revenue_rmedian_7,109.5
core_plus_promo_interactions,COGS_lag_180,107.5
core_plus_promo_interactions,Revenue_rmin_14,106.0
core_plus_promo_interactions,COGS_lag_60,105.0
core_plus_promo_interactions,COGS_rmin_7,102.0
