step,elapsed_sec,training_l1,valid_1_l1
0,0.0,1640631.7822095691,1444444.6845840947
50,0.8,583920.6921089444,576735.1446580166
100,1.4,372109.2280668917,486393.90467279096
150,1.8,314998.79312106577,479567.5712541443
200,2.0,287939.42952327733,479480.55881381663
250,2.3,266137.7256080354,477590.73864219117
300,2.5,247455.5773300753,476825.60305330215
350,2.8,229382.38139325444,476994.6743793483
400,3.0,213543.95722168733,476475.9648748752
450,3.3,197311.26310153448,476004.5571613902
500,3.7,183174.29910247246,475880.9815114313
