fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,152,152,692233.3460535693,606171.4707137329,934701.9343390625
fold_2020,aligned_keep_avg,121,100,729733.2968540972,596720.0499752264,968421.3168441877
fold_2020,aligned_drop_avg,107,86,724712.6235891712,583708.8254984911,958196.1537885676
fold_2020,aligned_no_profiles,91,70,820450.7853280628,708148.568308272,1103710.2126513717
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2020,naive_lag365_lag7_blend,0,0,767348.2680016222,643556.9866567802,1024771.0626643343
fold_2021,core_v3_like,152,152,644895.6417043532,565664.0790958266,871161.2733426838
fold_2021,aligned_keep_avg,121,100,600527.7339127166,490798.46695662674,796847.1206953673
fold_2021,aligned_drop_avg,107,86,610966.2795605,566125.8305003343,837416.6117606338
fold_2021,aligned_no_profiles,91,70,573869.7350797204,496111.83180438745,772314.4678014754
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2021,naive_lag365_lag7_blend,0,0,743930.724554941,589274.0848673893,979640.3585018967
fold_2022,core_v3_like,152,152,758311.1637416246,618921.0085792952,1005879.5671733427
fold_2022,aligned_keep_avg,121,100,615249.601890145,542611.5388171659,832294.2174170114
fold_2022,aligned_drop_avg,107,86,607588.4012328536,624119.5336938294,857236.2147103854
fold_2022,aligned_no_profiles,91,70,653970.5790485651,577934.8613826936,885144.5236016426
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
fold_2022,naive_lag365_lag7_blend,0,0,860664.1158008568,748785.8330520808,1160178.4490216891
