fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,160,160,845060.5580859327,594092.9819743766,1082697.7508756835
fold_2020,aligned_keep_avg,129,108,881467.7923028371,667938.1761364711,1148643.0627574255
fold_2020,aligned_no_profiles,91,70,820450.7853280628,708148.568308272,1103710.2126513717
fold_2020,aligned_recency_profiles,99,78,801098.5957908165,579959.0833333032,1033082.2291241378
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,160,160,664228.5734087651,544743.0739689632,882125.8029963505
fold_2021,aligned_keep_avg,129,108,578363.6249329821,510254.37122316886,782465.3734222497
fold_2021,aligned_no_profiles,91,70,573869.7350797204,496111.83180438745,772314.4678014754
fold_2021,aligned_recency_profiles,99,78,594201.1001959015,528734.2415441102,805694.7968135455
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,160,160,874789.1221906372,633768.6459259972,1128296.580561036
fold_2022,aligned_keep_avg,129,108,669324.5701386796,678489.7140097049,940720.4557425615
fold_2022,aligned_no_profiles,91,70,653970.5790485651,577934.8613826936,885144.5236016426
fold_2022,aligned_recency_profiles,99,78,638085.1520138838,565842.6216353269,864422.2006680146
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
