fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,171,171,780733.4196369002,603598.7951455234,1022172.9376951095
fold_2020,aligned_keep_avg,140,115,770786.8912854602,627416.9441814529,1021753.6689580414
fold_2020,aligned_no_profiles,99,74,816047.1581884342,639634.7508950025,1071901.058546435
fold_2020,aligned_recency_profiles,107,82,841163.5186494471,625302.0028835924,1091284.319802884
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,171,171,729376.2446297343,541207.4615665734,945859.2292563637
fold_2021,aligned_keep_avg,140,115,600754.8091396799,524931.7792702703,810727.520847788
fold_2021,aligned_no_profiles,99,74,624187.3299754863,580553.7918470998,856408.8467143262
fold_2021,aligned_recency_profiles,107,82,620437.5126677586,538358.6693983834,835780.980427112
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,171,171,869854.0680221907,636833.1985135971,1124587.3474276296
fold_2022,aligned_keep_avg,140,115,650856.6821947364,580744.2419825898,883154.3789877724
fold_2022,aligned_no_profiles,99,74,616347.7574583758,586617.7016444585,850994.8381161592
fold_2022,aligned_recency_profiles,107,82,588620.8918343369,623395.7194565469,837979.1796169557
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
