fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,186,186,785559.7749858535,638306.6750296524,1040882.4449977145
fold_2020,aligned_keep_avg,155,130,932912.9468188062,619637.242922305,1180767.8439877282
fold_2020,aligned_no_profiles,114,89,710695.5618295512,512821.64876755886,915824.2213365748
fold_2020,aligned_recency_profiles,122,97,839596.0167543108,645454.0260308888,1097777.6271666663
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,186,186,686542.0812998879,550712.601680434,906827.1219720615
fold_2021,aligned_keep_avg,155,130,580011.9029587074,611987.7129783286,824806.9881500389
fold_2021,aligned_no_profiles,114,89,622516.9511522097,498628.12338374386,821968.2005057072
fold_2021,aligned_recency_profiles,122,97,594531.6018548144,514013.41587222915,800136.9682037061
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,186,186,749363.4704034923,670771.3116249592,1017671.995053476
fold_2022,aligned_keep_avg,155,130,598355.6669486526,545948.6405319973,816735.1231614515
fold_2022,aligned_no_profiles,114,89,628909.2608695205,561876.7291218254,853659.9525182507
fold_2022,aligned_recency_profiles,122,97,646252.1438465767,620601.3300989851,894492.6758861707
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
