fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,183,183,738292.8527654186,618953.8698700787,985874.40071345
fold_2020,aligned_keep_avg,152,127,788857.5611718209,683936.3933970904,1062432.1185306571
fold_2020,aligned_no_profiles,111,86,869666.3953872942,579434.2345699022,1101440.089215255
fold_2020,aligned_recency_profiles,119,94,759003.7781273731,641168.1708968503,1015471.0464861132
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,183,183,678126.2420844344,600347.5585789604,918265.2655160185
fold_2021,aligned_keep_avg,152,127,602793.0333128372,534650.7039187858,816653.3148803515
fold_2021,aligned_no_profiles,111,86,639043.33570275,586445.627436251,873621.5866772505
fold_2021,aligned_recency_profiles,119,94,590732.208998105,527136.715267908,801586.8951052682
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,183,183,797610.2301336259,654880.8313563667,1059562.5626761727
fold_2022,aligned_keep_avg,152,127,626371.0583912332,594729.6376153169,864262.91343736
fold_2022,aligned_no_profiles,111,86,660049.0787024527,604793.2593436226,901966.3824399018
fold_2022,aligned_recency_profiles,119,94,599420.1361417859,607982.97691524,842613.3269078819
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
