fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,180,180,842553.4262738951,626289.6015221579,1093069.2668827581
fold_2020,aligned_keep_avg,149,124,863501.6501687398,628423.7142965465,1114871.1358873583
fold_2020,aligned_no_profiles,108,83,648694.303730718,857976.6663753064,991884.9702808405
fold_2020,aligned_recency_profiles,116,91,839956.8768488368,661412.9004988993,1104522.0370483964
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,180,180,676607.415805597,592693.3230841608,913684.7450392613
fold_2021,aligned_keep_avg,149,124,717646.0313377016,506284.10255726334,920159.672360607
fold_2021,aligned_no_profiles,108,83,602559.3077659435,602891.7133278284,843715.9930970748
fold_2021,aligned_recency_profiles,116,91,629025.4342526593,504021.2115385399,830633.9188680754
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,180,180,850041.2193667487,676149.0755252329,1120500.8495768418
fold_2022,aligned_keep_avg,149,124,630612.2666715852,625203.7653877415,880693.7728266817
fold_2022,aligned_no_profiles,108,83,627733.7687502776,587922.8070441666,862902.8915679442
fold_2022,aligned_recency_profiles,116,91,590465.8737992151,673749.4211449032,859965.6422571763
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
