fold,component,n_features_revenue,n_features_cogs,rec_revenue_mae,rec_cogs_mae,score
fold_2020,core_v3_like,174,174,783219.412587556,645981.9504479081,1041612.1927667193
fold_2020,aligned_keep_avg,143,118,834633.6067204062,634976.2452845721,1088624.104834235
fold_2020,aligned_no_profiles,102,77,934217.2540738612,581196.7506271044,1166695.954324703
fold_2020,aligned_recency_profiles,110,85,966145.9185688389,578983.9546723118,1197739.5004377635
fold_2020,naive_lag365,0,0,751646.295136612,613796.0533333332,997164.7164699454
fold_2021,core_v3_like,174,174,617553.4455160256,549997.5896424178,837552.4813729927
fold_2021,aligned_keep_avg,143,118,597287.7083659525,536058.7116689229,811711.1930335216
fold_2021,aligned_no_profiles,102,77,609218.5357560741,593723.1466227594,846707.7944051779
fold_2021,aligned_recency_profiles,110,85,612100.4498492887,543813.7937851794,829625.9673633605
fold_2021,naive_lag365,0,0,710078.1359452055,549914.4282191781,930043.9072328768
fold_2022,core_v3_like,174,174,910737.4151490132,795398.7293628781,1228896.9068941644
fold_2022,aligned_keep_avg,143,118,643429.7875875897,537759.403041889,858533.5488043453
fold_2022,aligned_no_profiles,102,77,641156.3290513351,608094.8395048304,884394.2648532672
fold_2022,aligned_recency_profiles,110,85,617071.0710011647,586279.7949292853,851582.9889728789
fold_2022,naive_lag365,0,0,837704.0917808219,701957.5676986302,1118487.118860274
